Municipio;Zona_Hidrografica;Subcuenca;Sistema;Area_Ha;Porcentaje
MEDELLÍN;Valle de Aburra;Q. Santa Elena;Rio Aburra;4.463.320.467.836.930;11.910.506.197.111.900
MEDELLÍN;Valle de Aburra;Q. La Presidenta;Rio Aburra;12.872.033.025.485.600;3.434.941.098.768.480
MEDELLÍN;Valle de Aburra;Q. La Ayurá;Rio Aburra;20.798.322.766.708.200;0.5550095584385981
MEDELLÍN;Valle de Aburra;Q. Piedras Blancas;Rio Aburra;22.655.222.497.410.600;6.045.614.915.998.400
MEDELLÍN;Valle de Aburra;Q. Doña Maria;Rio Aburra;597.079.790.635.978;15.933.255.516.350.100
MEDELLÍN;Valle de Aburra;Q. Altavista;Rio Aburra;241.230.001.355.288;6.437.295.835.635.810
MEDELLÍN;Valle de Aburra;Q. La Picacha;Rio Aburra;12.126.566.009.860.800;32.360.109.620.390.200
MEDELLÍN;Valle de Aburra;Q. La Hueso;Rio Aburra;24.071.457.634.744.000;6.423.541.562.792.640
MEDELLÍN;Valle de Aburra;Q. La Iguaná;Rio Aburra;5.079.934.492.405.930;1.355.595.944.515.400
MEDELLÍN;Valle de Aburra;Directos R. Aburra ZU Medellín;Rio Aburra;2.276.045.393.707.710;6.073.696.245.208.600
MEDELLÍN;Valle de Aburra;Directos R. Aburra a Copacabana;Rio Aburra;40.348.888.623.417.600;10.767.223.448.525.900
MEDELLÍN;C Rio Negro;Qda. La Mosca;Río Negro;4.398.222.302.909.990;0.11736789767299166
ABEJORRAL;Embalse La Fe;Río Buey;Río Arma;26.119.730.099.486.000;5.152.300.152.955.680
ABEJORRAL;Embalse La Fe;Río Buey;Río Arma;3.208.892.137.642.590;6.329.765.042.985.460
ABEJORRAL;Embalse La Fe;Río Buey;Río Arma;8.809.882.560.169.700;17.378.111.905.979.100
ABEJORRAL;Embalse La Fe;Río Buey;Río Arma;106.698.168.961.743;21.046.962.972.733.600
ANGOSTURA;Embalse Riogrande II;Q. Las Trampas;R. Grande - Chico;1.358.745.137.309.190;0.4013710143185488
BARBOSA;Valle de Aburra;Q. Platanito;Rio Aburra;7.399.447.570.802.150;35.993.495.549.841.900
BARBOSA;Valle de Aburra;Q. Guayabal;Rio Aburra;36.218.774.746.825.900;17.618.076.149.558.800
BARBOSA;Valle de Aburra;Q. Ovejas;Rio Aburra;14.020.109.979.251.200;6.819.870.825.732.050
BARBOSA;Valle de Aburra;Q. Dos Quebradas;Rio Aburra;2.130.372.173.192.490;1.036.287.379.586.070
BARBOSA;Valle de Aburra;Q. Aguas Claras;Rio Aburra;804.954.983.673.783;39.155.819.870.948.100
BARBOSA;Valle de Aburra;Q. Santo Domingo;Rio Aburra;4.888.154.561.590.580;23.777.689.858.065.500
BARBOSA;Valle de Aburra;Q.Agua Fria;Rio Aburra;5.168.316.446.395.130;2.514.049.504.824.470
BARBOSA;Valle de Aburra;Q. La Herradura;Rio Aburra;13.441.972.401.734.200;6.538.644.529.789.810
BARBOSA;Valle de Aburra;Q. Corrientes;Rio Aburra;4.458.984.471.003.800;2.169.005.674.791.080
BARBOSA;Valle de Aburra;Q. La Silva;Rio Aburra;160.179.456.974.596;0.7791687847808091
BARBOSA;Valle de Aburra;Q. La Quesariega;Rio Aburra;3.783.509.337.569.640;1.840.430.994.361.850
BARBOSA;Valle de Aburra;Q. Las Lajas;Rio Aburra;3.405.990.156.425.460;16.567.924.884.264.700
BARBOSA;Valle de Aburra;Q. Los Totumos;Rio Aburra;40.374.320.186.207.100;19.639.478.488.697.500
BARBOSA;Valle de Aburra;Q. El Choco;Rio Aburra;43.993.589.713.193.200;214.000.175.068.709
BARBOSA;Valle de Aburra;Q. Las Peñas;Rio Aburra;6.355.960.697.354.430;30.917.611.198.155.400
BARBOSA;Valle de Aburra;Q. El Guayabo;Rio Aburra;37.556.745.601.059.200;18.268.911.871.102.300
BARBOSA;Valle de Aburra;Q. La Caldas;Rio Aburra;6.820.757.004.268.540;3.317.854.265.883.780
BARBOSA;Valle de Aburra;Q. Santa Rosa;Rio Aburra;14.150.665.958.900.300;68.833.778.109.162.700
BARBOSA;Valle de Aburra;Q. La Montera;Rio Aburra;32.088.191.322.922.400;15.608.816.205.976.200
BARBOSA;Valle de Aburra;Q. Reventon;Rio Aburra;6.320.352.785.480.390;3.074.440.188.687.730
BARBOSA;Valle de Aburra;Directos R. Aburra  a salida;Rio Aburra;28.678.785.912.543.900;13.950.362.418.827.300
BARBOSA;Valle de Aburra;Directos R. Aburra (INTERCUENCA 3);Rio Aburra;42.694.432.135.765.800;2.076.806.191.783.210
BARBOSA;Valle de Aburra;Directos R. Aburra  (INTERCUENCA 2);Rio Aburra;32.194.462.590.096.600;15.660.510.259.424.300
BARBOSA;Valle de Aburra;Directos R. Aburra (INTERCUENCA 1);Rio Aburra;2.541.652.359.329.310;12.363.484.166.811.600
SAN PEDRO DE LOS MILAGROS;Embalse Riogrande II;R. Chico;R. Grande - Chico;525.029.894.575.378;23.202.230.932.398.500
SAN PEDRO DE LOS MILAGROS;Embalse Riogrande II;R. Chico;R. Grande - Chico;619.527.562.967.182;27.378.291.661.994
SAN PEDRO DE LOS MILAGROS;Embalse Riogrande II;R. Chico;R. Grande - Chico;1.680.987.951.609.030;0.7428657120440026
DONMATÍAS;Embalse Riogrande II;R. Chico;R. Grande - Chico;2.895.755.099.004.660;14.636.283.765.523.600
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;3.626.561.978.904.410;12.248.269.302.557
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;4.291.398.254.871.810;1.449.367.246.884.110
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;4.319.347.304.099.740;14.588.066.962.492.600
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;4.738.441.253.358.580;1.600.350.549.172.600
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;5.242.675.882.668.270;1.770.649.624.919.430
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;6.451.680.698.692.190;21.789.762.069.794.700
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;6.482.402.160.459.350;2.189.352.004.753.810
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;6.797.985.436.795.540;2.295.936.394.554.220
ENTRERRÍOS;Embalse Riogrande II;R. Chico;R. Grande - Chico;6.864.686.429.964.830;3.205.768.645.882.280
BELMIRA;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;2.517.814.738.867.360;8.503.611.176.365.770
BELMIRA;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;6.362.099.405.836.290;21.487.212.215.207.200
BELMIRA;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;7.734.861.170.805.580;26.123.547.091.986.700
BELMIRA;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;2.557.311.234.640.120;8.637.005.757.665.100
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;6.897.719.132.494.800;23.296.202.298.387.000
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;7.441.276.587.726.270;2.513.200.108.848.490
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;7.647.769.085.517.230;258.294.042.313.551
SAN PEDRO DE LOS MILAGROS;Embalse Riogrande II;R. Chico;R. Grande - Chico;8.795.474.073.417.920;3.886.914.301.830.640
ENTRERRÍOS;Embalse Riogrande II;R. Chico;R. Grande - Chico;9.498.848.305.360.660;4.435.906.924.516.760
BELLO;Embalse Riogrande II;R. Chico;R. Grande - Chico;10.349.394.933.489.000;0.7006098191488628
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;10.613.398.021.766.000;3.584.545.306.050.120
BELLO;Valle de Aburra;Q. Rodas;Rio Aburra;20.628.199.211.929.800;13.964.409.525.499.300
BELLO;Valle de Aburra;Q. La Garcia;Rio Aburra;8.166.860.801.914.670;5.528.615.833.306.890
BELLO;Valle de Aburra;Q. El Hato;Rio Aburra;21.156.120.018.436.900;1.432.178.935.605.830
BELLO;Valle de Aburra;Q. La Loca;Rio Aburra;5.809.320.833.454.600;39.326.620.006.878.200
BELLO;Valle de Aburra;Q. Seca;Rio Aburra;6.771.552.529.821.760;4.584.051.747.724.780
BELLO;Valle de Aburra;Q. Guasimal;Rio Aburra;37.546.087.836.050.600;2.541.709.730.628.140
BELLO;Valle de Aburra;Directos R. Aburra a Copacabana;Rio Aburra;14.120.237.576.582.400;9.558.797.551.397.810
BELLO;Valle de Aburra;Directos R. Aburra (INTERCUENCA 4);Rio Aburra;42.932.286.246.239.100;29.063.323.504.347.500
CALDAS;Valle de Aburra;Q. La Clara;Rio Aburra;6.098.767.402.803.720;4.595.052.844.544.770
CALDAS;Valle de Aburra;Q. La Brunera;Rio Aburra;44.631.107.852.799.200;33.626.843.843.874.000
CALDAS;Valle de Aburra;Q. La Miel;Rio Aburra;2.194.366.383.072.680;1.653.322.519.871.160
CALDAS;Valle de Aburra;Q. La Salada;Rio Aburra;11.035.250.295.333.600;8.314.394.517.902.960
CALDAS;Valle de Aburra;Q. La Valeria;Rio Aburra;11.603.070.718.677.600;874.221.290.793.994
CALDAS;Valle de Aburra;Q. Mandalay;Rio Aburra;3.161.856.268.201.240;23.822.677.074.978.500
CALDAS;Valle de Aburra;Q. La Lejia;Rio Aburra;314.966.666.247.121;2.373.083.575.888.250
CALDAS;Valle de Aburra;Q. Las Minas;Rio Aburra;7.966.742.707.098.520;6.002.459.402.072.000
CALDAS;Valle de Aburra;Río Aburra Alto;Rio Aburra;16.214.245.684.022.400;12.216.454.708.251.900
CALDAS;Valle de Aburra;Directos R. Aburra  A Caldas;Rio Aburra;12.173.735.218.505.700;9.172.174.137.812.420
CALDAS;Valle de Aburra;Directos R. Aburra ZU Medellín (INTERCUENCA 5);Rio Aburra;36.842.895.250.445.900;2.775.889.609.169.200
EL CARMEN DE VIBORAL;C Rio Negro;Qda. Cimarrona;Río Negro;4.228.624.883.798.200;9.986.245.470.329.830
EL CARMEN DE VIBORAL;C Rio Negro;Qda. San Antonio - Emb. Abreo Mal Paso;Río Negro;3.806.060.166.908.550;8.988.324.135.162.790
EL CARMEN DE VIBORAL;C Rio Negro;Qda. Marinilla;Río Negro;6.433.595.577.131.300;1.519.346.512.295.820
EL CARMEN DE VIBORAL;Embalse La Fe;Rio Piedras;Río Arma;14.513.913.680.991.000;3.427.580.093.682.090
EL CARMEN DE VIBORAL;Embalse La Fe;Rio Piedras;Río Arma;12.389.528.283.145.900;29.258.890.087.682.100
EL CARMEN DE VIBORAL;Embalse La Fe;Río Buey;Río Arma;6.572.522.839.750.720;0.15521553280494813
CONCEPCIÓN;Valle de Aburra;Q. Dos Quebradas;Rio Aburra;2.396.347.929.403.670;0.1186589310944055
COPACABANA;Embalse Riogrande II;R. Chico;R. Grande - Chico;14.413.322.330.584.300;0.21277707560269357
COPACABANA;Valle de Aburra;Q. El Chuscal;Rio Aburra;11.973.765.553.054.600;17.676.305.017.650.600
COPACABANA;Valle de Aburra;Q. Rodas;Rio Aburra;37.283.867.741.243.400;5.504.041.443.870.040
COPACABANA;Valle de Aburra;Q. Piedras Blancas;Rio Aburra;13.453.899.567.251.700;19.861.357.012.031.200
COPACABANA;Valle de Aburra;Q. Los Aguacates;Rio Aburra;6.112.753.197.498.320;9.023.969.071.202.860
COPACABANA;Valle de Aburra;Q. La Tolda;Rio Aburra;45.448.605.079.515.300;6.709.363.085.928.390
COPACABANA;Valle de Aburra;Q. Guasimal;Rio Aburra;1.125.561.211.057.400;16.616.128.981.756.500
COPACABANA;Valle de Aburra;Q. El Molinal;Rio Aburra;805.465.344.069.127;11.890.704.757.686.300
COPACABANA;Valle de Aburra;Directos R. Aburra (INTERCUENCA 4);Rio Aburra;1.853.011.626.234.810;27.355.136.161.174.800
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;14.461.104.160.067.400;4.884.060.970.008.350
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;15.069.598.345.676.400;0.5089572435074536
DONMATÍAS;Embalse Riogrande II;R. Grande Tramo 4;R. Grande - Chico;10.929.113.769.986.600;552.400.341.099.975
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;2.157.333.242.958.310;10.904.009.642.109.700
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;11.739.232.410.836.600;5.933.469.194.735.940
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;40.562.111.172.777.400;2.050.168.432.605.190
DONMATÍAS;Parte baja Riogrande;Q. Mocorongo;R. Grande - Chico;1.740.900.983.001.030;8.799.197.419.574.740
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;8.510.451.130.229.450;4.301.516.304.243.900
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;644.570.423.114.774;3.257.912.115.155.800
DONMATÍAS;Embalse Riogrande II;R. Grande Tramo 4;R. Grande - Chico;45.873.590.157.416.200;23.186.314.447.587.700
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;5.880.893.432.347.790;29.724.345.508.441.800
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;20.932.083.531.945.300;10.579.897.260.044.600
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;16.372.598.350.732.400;0.827535434618183
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 5;R. Grande - Chico;21.577.120.375.196.000;10.905.924.218.618.500
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 4;R. Grande - Chico;2.336.712.957.807.760;11.810.665.183.946.700
DONMATÍAS;Parte baja Riogrande;R. Grande Tramo 6;R. Grande - Chico;10.050.545.685.633.900;5.079.940.589.722.510
DONMATÍAS;Valle de Aburra;Q. San Jacinto;Rio Aburra;13.859.785.562.818.000;7.005.280.056.191.200
DONMATÍAS;Valle de Aburra;Q. Laureles;Rio Aburra;5.437.513.843.373.430;27.483.330.899.747.700
DONMATÍAS;Valle de Aburra;Q. La Montera;Rio Aburra;26.049.912.682.092.100;13.166.649.148.378.100
DONMATÍAS;Valle de Aburra;Directos R. Aburra  a salida;Rio Aburra;12.910.838.789.177.500;6.525.645.080.769.580
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;15.877.807.986.134.100;0.5362535351104429
BELMIRA;Embalse Riogrande II;R. Chico;R. Grande - Chico;16.249.339.883.400.200;0.5488015702982496
SAN PEDRO DE LOS MILAGROS;Embalse Riogrande II;R. Chico;R. Grande - Chico;17.367.437.064.820.800;7.675.054.118.733.030
ENTRERRÍOS;Embalse Riogrande II;R. Grande Tramo 3;R. Grande - Chico;2.389.647.794.278.650;11.159.516.245.579.600
ENTRERRÍOS;Embalse Riogrande II;R. Grande Tramo 3;R. Grande - Chico;14.935.577.222.200.100;6.974.827.715.084.430
ENTRERRÍOS;Embalse Riogrande II;Q. La Turura;R. Grande - Chico;8.273.634.666.013.850;3.863.739.279.337.750
ENTRERRÍOS;Embalse Riogrande II;Q. Potrerito;R. Grande - Chico;2.436.841.228.488.660;11.379.906.839.127.400
ENTRERRÍOS;Embalse Riogrande II;Q. Quebradona;R. Grande - Chico;2.092.239.650.976.150;9.770.637.510.103.150
